CBRank(Company)	NumberofArticles	NumberofFounders	NumberofFundingRounds	LastFundingAmountCurrency(inUSD)	LastEquityFundingAmountCurrency(inUSD)	TotalEquityFundingAmountCurrency(inUSD)	TotalFundingAmountCurrency(inUSD)	NumberofLeadInvestors	NumberofInvestors	NumberofEvents	CBRank(Organization)	BuiltWith-ActiveTechCount	G2Stack-TotalProductsActive	minEstimatedRevenueRange	maxEstimatedRevenueRange	minNumberEmployees	maxNumberEmployees	isCompanyTypeForProfit	isCompanyPrivate	hasWebsite	hasTwitter	hasFacebook	hasLinkedIn	hasContactEmail	hasPhoneNumber	isOperating	isInTop100
284.179	0	2	1	25000	25000	25000	25000	0	0	0	303.951	0	0	0	0	1000	2000	1	1	1	1	1	0	0	0	1	0
284.601	0	1	1	34643	0	0	34643	0	1	0	304.398	13	11	0	1000000	1000	2000	1	1	1	1	1	0	1	0	1	0
297.414	0	2	1	50000	50000	50000	50000	0	1	0	318.123	0	1	0	0	1000	2000	1	1	1	1	0	0	1	0	0	0
312.258	0	0	1	34917	0	0	34917	0	1	0	333.974	0	0	0	0	1000	2000	1	1	0	0	0	0	0	0	1	0
374.3	0	2	1	9000	0	0	9000	0	1	0	399.973	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0
387.031	6	2	3	3200000	3200000	4700000	4700000	0	0	0	413.434	15	23	0	0	2000	5000	1	1	1	1	1	0	1	0	1	0
454.636	0	2	1	7500	7500	7500	7500	0	0	0	484.706	16	8	1000000	10000000	1000	2000	1	1	1	1	1	0	1	1	1	0
461.041	0	1	1	35201	35201	35201	35201	0	1	0	491.434	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
483.454	0	2	1	16725	16725	16725	16725	0	1	0	514.923	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0
515.168	0	0	1	250000	0	0	250000	0	1	0	548.203	1	6	0	0	1000	2000	1	1	1	1	0	0	1	1	1	0
562.048	1	2	1	75000	75000	75000	75000	0	2	0	597.347	1	4	0	0	1000	2000	1	1	1	0	0	0	1	1	1	0
